Date,Close,High,Low,Open,Volume,Stock_Name,Ticker,Country
2025-01-06,2870.214599609375,2958.866196342577,2859.7289268774907,2957.912953366951,41298500.0,Toyota,7203.T,JAPAN
2025-01-07,2909.297607421875,2980.7908317195947,2854.48613546029,2863.5419438713343,44700900.0,Toyota,7203.T,JAPAN
2025-01-08,2929.315673828125,2948.380533403967,2899.76514148557,2907.3910853159064,24570000.0,Toyota,7203.T,JAPAN
2025-01-09,2864.495361328125,2927.409402541987,2857.3460384629134,2926.4561594932925,26998400.0,Toyota,7203.T,JAPAN
2025-01-10,2794.908447265625,2885.4665313346,2791.095475304826,2849.24329770701,26369200.0,Toyota,7203.T,JAPAN
2025-01-14,2771.553955078125,2843.523799827359,2762.49814679842,2794.9084080099956,28127600.0,Toyota,7203.T,JAPAN
2025-01-15,2765.35791015625,2805.870737175085,2756.3021017638043,2793.4785783222646,20709300.0,Toyota,7203.T,JAPAN
2025-01-16,2704.350341796875,2758.6851918083034,2689.098454074369,2754.872219877677,25970400.0,Toyota,7203.T,JAPAN
2025-01-17,2657.6416015625,2699.1076738967786,2656.211736999249,2687.1921358696873,22690400.0,Toyota,7203.T,JAPAN
2025-01-20,2735.807373046875,2759.161826231422,2697.6776535619015,2704.350354471772,25039100.0,Toyota,7203.T,JAPAN
2025-01-21,2741.05029296875,2818.2629772777286,2720.0789466132246,2783.4696071878802,28584700.0,Toyota,7203.T,JAPAN
2025-01-22,2779.179931640625,2797.768169907472,2757.255342915626,2764.404665325952,24169400.0,Toyota,7203.T,JAPAN
2025-01-23,2788.23583984375,2791.0955689102566,2723.4153143362714,2757.732063134348,21725600.0,Toyota,7203.T,JAPAN
2025-01-24,2747.722900390625,2794.4318065898065,2729.134662209318,2758.685194702678,24980800.0,Toyota,7203.T,JAPAN
2025-01-27,2785.375732421875,2803.9639688292077,2774.413439156012,2777.2731678340633,18257200.0,Toyota,7203.T,JAPAN
2025-01-28,2754.3955078125,2798.721305048451,2754.3955078125,2764.404558801263,18314000.0,Toyota,7203.T,JAPAN
2025-01-29,2793.001953125,2799.198032543195,2762.974799021438,2780.609794288609,17997800.0,Toyota,7203.T,JAPAN
2025-01-30,2811.113525390625,2824.935548489358,2785.8525866239747,2790.1421799994437,18783700.0,Toyota,7203.T,JAPAN
2025-01-31,2834.46826171875,2848.2902861999746,2784.4230006660396,2798.7216466810996,20964200.0,Toyota,7203.T,JAPAN
2025-02-03,2692.43505859375,2736.760861470227,2670.033846387358,2692.911680130056,40169700.0,Toyota,7203.T,JAPAN
2025-02-04,2738.6669921875,2786.3291396324616,2733.900777443004,2771.5538739245235,25931800.0,Toyota,7203.T,JAPAN
2025-02-05,2824.458984375,2883.560049859728,2711.9763113556783,2757.731974956758,61048300.0,Toyota,7203.T,JAPAN
2025-02-06,2767.740966796875,2874.980801053685,2759.6384015419158,2822.5524376392445,37833500.0,Toyota,7203.T,JAPAN
2025-02-07,2692.43505859375,2742.0036983695954,2685.285735549157,2726.2751876714906,28713500.0,Toyota,7203.T,JAPAN
2025-02-10,2693.387939453125,2710.0696909804406,2682.425645592318,2693.864560925334,18868200.0,Toyota,7203.T,JAPAN
2025-02-12,2669.080322265625,2680.5192379324776,2631.427224862235,2673.846537126814,29015300.0,Toyota,7203.T,JAPAN
2025-02-13,2693.387939453125,2733.900764590891,2693.387939453125,2716.7423915913664,26458600.0,Toyota,7203.T,JAPAN
2025-02-14,2673.369873046875,2747.246202218254,2672.416630089825,2734.3774222980783,23997400.0,Toyota,7203.T,JAPAN
2025-02-17,2643.8193359375,2668.6036527697966,2610.455832509408,2662.8841950392666,25063500.0,Toyota,7203.T,JAPAN
2025-02-18,2672.89306640625,2696.7241386816268,2628.090650528542,2636.6698365476773,18272300.0,Toyota,7203.T,JAPAN
2025-02-19,2626.6611328125,2660.9778814175625,2615.698838119216,2635.7169414721693,19526100.0,Toyota,7203.T,JAPAN
