Date,Close,High,Low,Open,Volume,Stock_Name,Ticker,Country
2025-01-02,52164.5625,52359.93539325843,51090.011587078654,51480.75737359551,16630538.0,Samsung Electronics,005930.KS,South Korea
2025-01-03,53141.42578125,53825.23089240579,51578.44267003676,51578.44267003676,19318046.0,Samsung Electronics,005930.KS,South Korea
2025-01-06,54606.71875,54899.77806350626,53043.735744633275,53141.42218246869,19034284.0,Samsung Electronics,005930.KS,South Korea
2025-01-07,54118.28515625,55974.32742695172,54118.28515625,55485.89525045126,17030235.0,Samsung Electronics,005930.KS,South Korea
2025-01-08,55974.33203125,56169.70491792103,53434.48450452662,53532.170947862134,26593553.0,Samsung Electronics,005930.KS,South Korea
2025-01-09,54802.08984375,56365.07279829545,54802.08984375,56267.38636363636,24490592.0,Samsung Electronics,005930.KS,South Korea
2025-01-10,54020.60546875,55192.84283877713,53922.91902124774,54802.09704876808,16059223.0,Samsung Electronics,005930.KS,South Korea
2025-01-13,52848.36328125,53727.54122862754,52848.36328125,53336.79547423752,16868600.0,Samsung Electronics,005930.KS,South Korea
2025-01-14,52652.9921875,53336.797280844155,52457.61930368738,52946.051513218925,17465926.0,Samsung Electronics,005930.KS,South Korea
2025-01-15,52457.6171875,53434.48156715549,52262.2443115689,52848.362939362196,18625025.0,Samsung Electronics,005930.KS,South Korea
2025-01-16,53043.73828125,53727.54337879834,52848.365396236186,52946.05183874309,18627298.0,Samsung Electronics,005930.KS,South Korea
2025-01-17,52457.6171875,52848.362939362196,51969.18499767225,52555.303625465545,18805344.0,Samsung Electronics,005930.KS,South Korea
2025-01-20,52164.5625,52652.99473314607,52066.87605337079,52359.93539325843,11822531.0,Samsung Electronics,005930.KS,South Korea
2025-01-21,52262.2421875,53043.73365946262,52066.869319509344,52457.615055490656,13535702.0,Samsung Electronics,005930.KS,South Korea
2025-01-22,53043.73828125,53141.42472375691,51871.50097116713,52164.560298687844,18341991.0,Samsung Electronics,005930.KS,South Korea
2025-01-23,52457.6171875,52848.362939362196,52262.2443115689,52457.6171875,15588067.0,Samsung Electronics,005930.KS,South Korea
2025-01-24,52457.6171875,52555.303625465545,51969.18499767225,52359.93074953445,11867631.0,Samsung Electronics,005930.KS,South Korea
2025-01-31,51187.6953125,51773.813961116415,50503.89022244752,50992.322429627864,42186279.0,Samsung Electronics,005930.KS,South Korea
2025-02-03,49820.0859375,50210.83170955882,49624.713051470586,49917.7723805147,32344897.0,Samsung Electronics,005930.KS,South Korea
2025-02-04,51480.7578125,52359.93583965844,50308.52044295541,50406.20689041745,27214851.0,Samsung Electronics,005930.KS,South Korea
2025-02-05,51676.12890625,52555.30690276465,51578.44246219282,52359.93401465028,15974885.0,Samsung Electronics,005930.KS,South Korea
2025-02-06,52750.6796875,52750.6796875,51969.18813657407,52164.561024305556,16466025.0,Samsung Electronics,005930.KS,South Korea
2025-02-07,52457.6171875,52946.04937732774,52359.93074953445,52652.9900634311,14476866.0,Samsung Electronics,005930.KS,South Korea
2025-02-10,54313.66015625,54606.71947363984,51676.12629974146,51773.812738871406,27577591.0,Samsung Electronics,005930.KS,South Korea
2025-02-11,54411.34765625,54997.46630245736,53727.54256900808,54215.97477418088,24596196.0,Samsung Electronics,005930.KS,South Korea
2025-02-12,54509.03515625,54606.72159918235,53239.111398129484,53825.230055723565,26428596.0,Samsung Electronics,005930.KS,South Korea
2025-02-13,54509.03515625,55095.15381384409,54313.662270385306,54802.09448504705,22448377.0,Samsung Electronics,005930.KS,South Korea
