Date,Close,High,Low,Open,Volume,Stock_Name,Ticker,Country,Adj Close
2025-01-02,1044.473876953125,1054.281143403389,1034.666610502861,1049.3775101782571,43177098.0,TSMC,2330.TW,Taiwan,
2025-01-03,1054.2811279296875,1064.0883942360101,1054.2811279296875,1059.1847610828488,30415096.0,TSMC,2330.TW,Taiwan,
2025-01-06,1103.3175048828125,1103.3175048828125,1073.8957047526042,1078.799338107639,69289786.0,TSMC,2330.TW,Taiwan,
2025-01-07,1108.2210693359375,1137.6428676368917,1108.2210693359375,1127.8356015365734,48758688.0,TSMC,2330.TW,Taiwan,
2025-01-08,1083.702880859375,1108.2210455847003,1083.702880859375,1088.60651380444,45211419.0,TSMC,2330.TW,Taiwan,
2025-01-09,1078.7994384765625,1093.5103399103339,1078.7994384765625,1078.7994384765625,27263215.0,TSMC,2330.TW,Taiwan,
2025-01-10,1078.7994384765625,1088.6067060990767,1078.7994384765625,1078.7994384765625,22021522.0,TSMC,2330.TW,Taiwan,
2025-01-13,1054.2811279296875,1093.5101931549782,1049.3774947765262,1088.606560001817,56690300.0,TSMC,2330.TW,Taiwan,
2025-01-14,1068.9920654296875,1068.9920654296875,1054.2811654467102,1064.0884321020285,28695247.0,TSMC,2330.TW,Taiwan,
2025-01-15,1044.473876953125,1064.0884098536533,1044.473876953125,1064.0884098536533,35489482.0,TSMC,2330.TW,Taiwan,
2025-01-16,1083.702880859375,1093.510146749505,1068.9919820241798,1073.895614969245,47542962.0,TSMC,2330.TW,Taiwan,
2025-01-17,1098.413818359375,1103.3174514770508,1073.895652770996,1103.3174514770508,59214050.0,TSMC,2330.TW,Taiwan,
2025-01-20,1098.413818359375,1113.1247177124023,1098.413818359375,1103.3174514770508,29834528.0,TSMC,2330.TW,Taiwan,
2025-01-21,1098.413818359375,1103.3174514770508,1088.6065521240234,1093.5101852416992,21904213.0,TSMC,2330.TW,Taiwan,
2025-01-22,1113.124755859375,1127.8356557165473,1113.124755859375,1118.028389145099,42960405.0,TSMC,2330.TW,Taiwan,
2025-02-03,1049.377685546875,1054.2813195914866,1039.570417457652,1044.4740515022634,97946226.0,TSMC,2330.TW,Taiwan,
2025-02-04,1073.8956298828125,1078.799262895976,1059.1847308433219,1064.0883638564856,53308108.0,TSMC,2330.TW,Taiwan,
2025-02-05,1088.6064453125,1098.4137105855857,1083.7028126759571,1088.6064453125,40385340.0,TSMC,2330.TW,Taiwan,
2025-02-06,1093.51025390625,1098.4138873318386,1083.7029870550728,1098.4138873318386,29971252.0,TSMC,2330.TW,Taiwan,
2025-02-07,1103.3175048828125,1103.3175048828125,1083.7029714626735,1088.6066048177083,27883220.0,TSMC,2330.TW,Taiwan,
2025-02-10,1083.702880859375,1103.3174126396352,1073.895614969245,1103.3174126396352,28527108.0,TSMC,2330.TW,Taiwan,
2025-02-11,1088.6064453125,1093.5100779490429,1078.7991800394145,1088.6064453125,18898928.0,TSMC,2330.TW,Taiwan,
2025-02-12,1078.7994384765625,1093.5103399103339,1078.7994384765625,1088.6067060990767,24172954.0,TSMC,2330.TW,Taiwan,
2025-02-13,1068.9920654296875,1073.8956987573467,1059.1847987743693,1068.9920654296875,33210403.0,TSMC,2330.TW,Taiwan,
2025-02-14,1039.5701904296875,1049.3774563771374,1039.5701904296875,1044.4738234034126,64486940.0,TSMC,2330.TW,Taiwan,
2025-02-17,1064.0885009765625,1064.0885009765625,1044.4739663963494,1044.4739663963494,35491271.0,TSMC,2330.TW,Taiwan,
2025-02-18,1078.7994384765625,1078.7994384765625,1059.184903231534,1064.0885370427911,21616188.0,TSMC,2330.TW,Taiwan,
