Date,Close,High,Low,Open,Volume,Stock_Name,Ticker,Country,Adj Close
2025-01-02,52.90315246582031,53.85980984729756,52.42482377508169,53.42931329576114,26642616.0,AIA,1299.HK,Hong Kong,
2025-01-03,53.094486236572266,53.62064708201797,52.711821812961716,53.52498280079453,17714158.0,AIA,1299.HK,Hong Kong,
2025-01-06,52.85531997680664,53.859809490838096,52.42482342811936,53.764145213066826,14754824.0,AIA,1299.HK,Hong Kong,
2025-01-07,52.28132629394531,53.23798365596181,51.802997612937055,52.08999409167036,20032192.0,AIA,1299.HK,Hong Kong,
2025-01-08,51.46816635131836,52.520491659693725,51.22900200614554,52.185659386836804,28017186.0,AIA,1299.HK,Hong Kong,
2025-01-09,50.750675201416016,51.18117176859363,50.60717877859576,50.60717877859576,33524185.0,AIA,1299.HK,Hong Kong,
2025-01-10,50.3201789855957,50.75067555577923,49.9375182060447,50.22451470304757,24837463.0,AIA,1299.HK,Hong Kong,
2025-01-13,49.88968276977539,50.08101132223525,48.693861070110195,49.65051842984235,29462252.0,AIA,1299.HK,Hong Kong,
2025-01-14,50.46367645263672,50.798505073621804,49.554851217930846,50.224512109259294,39386079.0,AIA,1299.HK,Hong Kong,
2025-01-15,50.79850769042969,51.0376720461273,49.794018126371405,49.88968605826552,32555588.0,AIA,1299.HK,Hong Kong,
2025-01-16,51.850833892822266,52.281330469987836,50.798508520933254,50.798508520933254,26543074.0,AIA,1299.HK,Hong Kong,
2025-01-17,52.04216384887695,52.663988967220334,51.611667290418694,51.755163710332546,19761394.0,AIA,1299.HK,Hong Kong,
2025-01-20,52.472660064697266,53.285821092886245,52.424827921711696,52.66399228599812,15923102.0,AIA,1299.HK,Hong Kong,
2025-01-21,53.094486236572266,53.477150660182815,52.66398967235,53.23798630776582,16771851.0,AIA,1299.HK,Hong Kong,
2025-01-22,52.329158782958984,53.429312567037826,52.18565871795128,52.75965532862386,21732245.0,AIA,1299.HK,Hong Kong,
2025-01-23,51.611663818359375,52.80748548398699,51.5159958954943,52.47265322799639,23322695.0,AIA,1299.HK,Hong Kong,
2025-01-24,52.18566131591797,52.56832574208327,51.8030005391111,52.42482566993167,26384790.0,AIA,1299.HK,Hong Kong,
2025-01-27,51.42033767700195,52.1378307608671,51.1333411733276,51.27683760048551,34246725.0,AIA,1299.HK,Hong Kong,
2025-01-28,52.089996337890625,52.089996337890625,52.089996337890625,52.089996337890625,0.0,AIA,1299.HK,Hong Kong,
2025-02-03,51.13333511352539,51.276831523677565,50.081009858952264,50.368009977972825,52807931.0,AIA,1299.HK,Hong Kong,
2025-02-04,51.707332611083984,52.28132925036738,50.511510840941625,51.65950047014998,44459188.0,AIA,1299.HK,Hong Kong,
2025-02-05,50.702842712402344,52.08999668629258,50.415846219373634,51.80300019326387,37197841.0,AIA,1299.HK,Hong Kong,
2025-02-06,50.9420051574707,50.98983729629151,49.746183440159186,49.746183440159186,31601057.0,AIA,1299.HK,Hong Kong,
2025-02-07,50.79850769042969,51.22900426055708,50.32017897903446,50.846343481055975,46321289.0,AIA,1299.HK,Hong Kong,
2025-02-10,50.3201789855957,51.276836408510896,49.9375182060447,50.08101462986691,58895474.0,AIA,1299.HK,Hong Kong,
2025-02-11,49.028690338134766,50.22451205369903,48.933026060632926,49.889683433084336,41296688.0,AIA,1299.HK,Hong Kong,
2025-02-12,49.45918655395508,50.22451171691257,48.69386139099758,48.78952566785793,61893691.0,AIA,1299.HK,Hong Kong,
2025-02-13,52.1378288269043,53.1901505177957,49.98534965515137,50.17668186695664,93713209.0,AIA,1299.HK,Hong Kong,
2025-02-14,53.85980987548828,54.051142081755536,52.95098463273755,53.04665256055033,62718838.0,AIA,1299.HK,Hong Kong,
2025-02-17,52.85531997680664,54.14680597351019,52.616155633020185,53.19014859836437,43561249.0,AIA,1299.HK,Hong Kong,
2025-02-18,52.99882125854492,53.811978586328316,52.568324699982625,52.85532118923803,39777767.0,AIA,1299.HK,Hong Kong,
2025-02-19,53.3814811706543,53.57281337687193,52.329159510494776,52.61615599514207,28058822.0,AIA,1299.HK,Hong Kong,
2025-02-20,52.66399002075195,53.76414750889164,52.66399002075195,52.90315437475115,25022248.0,AIA,1299.HK,Hong Kong,
2025-02-21,55.48612976074219,55.533961901353905,53.04665409596055,53.62064708201797,58085230.0,AIA,1299.HK,Hong Kong,
2025-02-24,55.82095718383789,56.82545036169234,54.86429979491619,55.19913207065378,51047067.0,AIA,1299.HK,Hong Kong,
2025-02-25,54.91213607788086,55.294796847277254,54.14680724037135,54.14680724037135,35893220.0,AIA,1299.HK,Hong Kong,
2025-02-26,57.064613342285156,57.542942025290536,55.055630684047614,55.199130748692525,53480323.0,AIA,1299.HK,Hong Kong,
2025-02-27,58.260433197021484,58.78659400172298,57.11244366444487,57.25594007516812,65445999.0,AIA,1299.HK,Hong Kong,
2025-02-28,56.8254508972168,58.212601204739144,56.347122198248165,57.973436855254825,52170467.0,AIA,1299.HK,Hong Kong,
2025-03-03,56.44278335571289,57.734269311735936,56.155786882080896,57.39944070072497,40702889.0,AIA,1299.HK,Hong Kong,
2025-03-04,57.20811080932617,57.638607361817215,55.725292594619965,56.20362128641928,39453766.0,AIA,1299.HK,Hong Kong,
2025-03-05,58.499603271484375,59.12142841102107,57.25594569369402,58.164770981556785,30759314.0,AIA,1299.HK,Hong Kong,
2025-03-06,61.130409240722656,61.22607352085565,59.21709444319592,59.408423003461905,64100772.0,AIA,1299.HK,Hong Kong,
2025-03-07,60.93907928466797,61.60874021843853,60.508582709432716,61.03474356833869,48178622.0,AIA,1299.HK,Hong Kong,
2025-03-10,60.07807922363281,61.8957259498087,59.55191842524921,60.1737471456577,45945700.0,AIA,1299.HK,Hong Kong,
2025-03-11,60.843406677246094,61.08257101740722,58.930091955957124,60.07808151860215,46867303.0,AIA,1299.HK,Hong Kong,
2025-03-12,61.03474044799805,61.89572990509282,60.26941526968326,60.93907616921806,44415289.0,AIA,1299.HK,Hong Kong,
2025-03-13,60.07807922363281,61.034736547733196,59.4562541525824,60.31724355465791,32837899.0,AIA,1299.HK,Hong Kong,
2025-03-14,58.59526443481445,59.31275746871014,57.54294277817743,58.83442877944635,63054793.0,AIA,1299.HK,Hong Kong,
2025-03-17,59.50408935546875,61.22607189772049,59.26492501211828,60.46074672887063,53116051.0,AIA,1299.HK,Hong Kong,
2025-03-18,59.743255615234375,61.608738283079745,59.073594702500344,61.17824172136798,42457521.0,AIA,1299.HK,Hong Kong,
2025-03-19,60.65208053588867,60.69991267595087,59.55192306766635,59.791087417335696,33731056.0,AIA,1299.HK,Hong Kong,
2025-03-20,59.55192565917969,61.034743961785544,58.882264721092305,61.034743961785544,57171033.0,AIA,1299.HK,Hong Kong,
2025-03-21,57.87777328491211,59.74325596363633,57.25594450888457,59.551923751831055,78638667.0,AIA,1299.HK,Hong Kong,
2025-03-24,57.54294204711914,57.63860632401321,56.58628468074548,57.399441982419795,46454314.0,AIA,1299.HK,Hong Kong,
2025-03-25,55.96445846557617,57.112448087049415,55.820958394382615,56.442787170410156,44232602.0,AIA,1299.HK,Hong Kong,
2025-03-26,56.34712219238281,56.87328303132187,55.868793493463976,56.63411868186245,31252393.0,AIA,1299.HK,Hong Kong,
2025-03-27,57.25594711303711,57.92560806013433,56.49062188036539,56.777618386447465,24109668.0,AIA,1299.HK,Hong Kong,
2025-03-28,57.01677703857422,58.212598735267115,56.68194842324348,56.92111276258207,24129312.0,AIA,1299.HK,Hong Kong,
2025-03-31,56.060123443603516,57.01678086516233,55.677462664595055,56.92111658274983,40180054.0,AIA,1299.HK,Hong Kong,
2025-04-01,57.1602783203125,57.39944266474895,55.77312439270941,55.77312439270941,25532685.0,AIA,1299.HK,Hong Kong,
2025-04-02,57.59077453613281,57.78210674044387,56.538449237101126,57.35161019308356,22895705.0,AIA,1299.HK,Hong Kong,
2025-04-03,57.064613342285156,57.78210636679323,56.39495245620598,56.442784594634865,35092196.0,AIA,1299.HK,Hong Kong,
2025-04-07,50.511505126953125,53.4771449710406,50.176676528933285,52.66398406971554,87726025.0,AIA,1299.HK,Hong Kong,
2025-04-08,50.84634017944336,52.13782615660685,49.74618275492763,51.85082967827699,55296328.0,AIA,1299.HK,Hong Kong,
2025-04-09,47.785037994384766,49.267856238687166,47.16320922289099,48.6460274671934,96683156.0,AIA,1299.HK,Hong Kong,
2025-04-10,48.4547004699707,49.6026864707657,47.88070382021471,48.83736125378287,57666620.0,AIA,1299.HK,Hong Kong,
2025-04-11,47.97636795043945,48.4546966293098,46.493546126454795,47.78503574901967,59343581.0,AIA,1299.HK,Hong Kong,
2025-04-14,49.93751525878906,50.32017601575586,48.980857892334704,49.31568651085043,41698417.0,AIA,1299.HK,Hong Kong,
2025-04-15,50.41584396362305,50.55934037903775,49.69835093847478,50.033179557134005,29925922.0,AIA,1299.HK,Hong Kong,
2025-04-16,50.46367645263672,50.60717651840648,49.60268335673468,49.98534776588187,30846410.0,AIA,1299.HK,Hong Kong,
2025-04-17,51.89866256713867,52.37699125439341,50.70284084900184,50.84634091492157,35528600.0,AIA,1299.HK,Hong Kong,
2025-04-22,52.089996337890625,52.281328548416184,51.27683535549661,51.56383549596413,32268067.0,AIA,1299.HK,Hong Kong,
2025-04-23,53.52497863769531,53.81197510840183,52.47265337929392,52.61615343932624,41103194.0,AIA,1299.HK,Hong Kong,
2025-04-24,53.19015121459961,54.338140851111795,52.807490435334515,54.00331221308503,29324987.0,AIA,1299.HK,Hong Kong,
2025-04-25,52.66399002075195,54.1468082856753,52.66399002075195,53.85981179074795,27719698.0,AIA,1299.HK,Hong Kong,
2025-04-28,52.233489990234375,52.99881879177188,51.5159969758116,52.85531872914405,28646998.0,AIA,1299.HK,Hong Kong,
2025-04-29,52.18566131591797,52.95098651889013,51.75516474882162,52.233493456849025,29920696.0,AIA,1299.HK,Hong Kong,
2025-04-30,55.58179473876953,55.77312695297345,53.76414782722841,54.24247653805899,71622814.0,AIA,1299.HK,Hong Kong,
2025-05-02,56.538448333740234,56.96894487422215,55.00779802242474,56.92111273624821,38970647.0,AIA,1299.HK,Hong Kong,
2025-05-06,57.399444580078125,59.21709511819063,57.25594450888457,58.69093062338652,54670969.0,AIA,1299.HK,Hong Kong,
2025-05-07,59.0735969543457,60.03025439490191,58.88226473636276,59.83892217691896,71043305.0,AIA,1299.HK,Hong Kong,
2025-05-08,58.499603271484375,59.07359626941955,57.92560662419071,58.35610319732134,33902075.0,AIA,1299.HK,Hong Kong,
2025-05-09,58.882259368896484,59.21709163218433,58.21259849167898,59.21709163218433,24082496.0,AIA,1299.HK,Hong Kong,
2025-05-12,60.46074676513672,61.226071934445635,59.31275718649421,59.31275718649421,32561538.0,AIA,1299.HK,Hong Kong,
2025-05-13,59.40842056274414,60.50857798586682,59.0735919466763,60.460745847765445,33996920.0,AIA,1299.HK,Hong Kong,
2025-05-14,62.469730377197266,62.613223146472905,59.59975456285989,59.79108677039683,53906297.0,AIA,1299.HK,Hong Kong,
2025-05-15,62.99588394165039,64.9570343945136,62.80455539446598,64.9570343945136,50013399.0,AIA,1299.HK,Hong Kong,
2025-05-16,63.13938903808594,63.42638918047305,62.56539605202852,63.13938903808594,30776351.0,AIA,1299.HK,Hong Kong,
2025-05-19,62.75672912597656,63.56988652290782,61.9435717290453,62.565400549775326,33363308.0,AIA,1299.HK,Hong Kong,
2025-05-20,63.95254135131836,64.71787013840171,62.182726742243894,62.32622680216155,39447885.0,AIA,1299.HK,Hong Kong,
2025-05-21,63.091548919677734,64.43087066107118,62.70889182103644,63.617713378383975,34263133.0,AIA,1299.HK,Hong Kong,
2025-05-22,62.51755905151367,62.995887747085646,61.991401865614506,62.75672339929966,36393549.0,AIA,1299.HK,Hong Kong,
2025-05-23,62.03923416137695,62.134898446615985,61.560905436464694,61.94356987613793,22771087.0,AIA,1299.HK,Hong Kong,
